state,age_group,race_and_hispanic_origin,covid_19_deaths,pneumonia_deaths,influenza_deaths,total_deaths
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,Under 1 year,Non-Hispanic White,0,0,0,27
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,1-4 years,Non-Hispanic White,0,0,0,12
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,5-14 years,Non-Hispanic White,0,0,0,19
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,15-24 years,Non-Hispanic White,0,0,0,76
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,25-34 years,Non-Hispanic White,0,0,0,151
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,35-44 years,Non-Hispanic White,0,0,0,264
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,45-54 years,Non-Hispanic White,,0,,617
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,55-64 years,Non-Hispanic White,12,0,,1497
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,65-74 years,Non-Hispanic White,29,0,,2313
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,75-84 years,Non-Hispanic White,44,0,12,2950
Alabama,85 years and over,Non-Hispanic White,43,0,15,2962
Alabama,85 years and over,Non-Hispanic White,43,0,15,2962
Alabama,85 years and over,Non-Hispanic White,43,0,15,2962
Alabama,85 years and over,Non-Hispanic White,43,0,15,2962
